,id,duration,index,match_id,timestamp,start_x,start_y,end_x,end_y
73,0ec2512c-4de4-4d0f-aeea-1c07f47d3413,1.310845,232,3939980,00:07:34.503,92.9,76.1,112.0,78.6
74,b8de4593-c180-4b98-8450-ceb2140d1c9c,1.786213,236,3939980,00:07:36.478,112.8,78.6,109.7,73.4
78,aa5469c2-09b5-4868-b01c-e31d02a1cd0e,1.481139,253,3939980,00:08:20.221,85.3,27.7,100.7,41.2
86,5cdada3e-97b4-47b3-a7a0-bdf71d662478,2.377619,288,3939980,00:09:16.509,10.9,32.9,22.1,59.4
87,b19cc7ac-0cff-4ab3-b014-a61e4f93c4b0,1.355774,290,3939980,00:09:19.483,21.0,59.4,37.5,74.9
88,bd9106c4-5ae6-44f9-8d2e-dc3cf04e0377,1.67317,293,3939980,00:09:21.274,37.7,74.9,23.1,62.4
89,b74971ce-aad4-46c0-b08e-36e590746de4,5.594901,296,3939980,00:09:31.817,39.4,55.0,120.0,77.8
92,66b449ff-13fd-448e-8eb2-2a999dbfdd05,0.94948,302,3939980,00:10:11.967,74.1,0.1,73.1,14.9
93,673807e5-ddc2-4123-80ad-79982d3edd20,1.004585,305,3939980,00:10:13.763,73.0,11.8,75.2,3.8
94,79fe2ba7-1b57-4158-a757-3340215bed05,4.643309,308,3939980,00:10:15.976,75.4,3.6,120.0,6.3
98,4c849328-0bcc-4b33-8ee2-3cfc3c310431,2.149795,319,3939980,00:10:47.386,50.3,30.7,84.5,34.5
99,202289c8-0022-4d7c-ba91-046e308d4edf,1.297414,321,3939980,00:10:49.535,84.5,34.5,89.1,24.2
100,73ebf30a-3953-465b-a796-6193bc41d491,0.154827,322,3939980,00:10:50.833,31.0,55.9,31.2,57.3
101,29824079-9d77-4f8c-b8b6-968849ae0739,1.332596,325,3939980,00:11:42.810,93.5,21.7,112.7,41.9
102,89abaaaf-d9a6-4902-903a-0e5dd08c1af8,2.038848,329,3939980,00:11:49.860,98.3,64.1,113.3,74.3
103,9dcaf609-7679-4f09-9d9f-f8a2ae6a2845,1.884587,331,3939980,00:11:51.899,113.3,74.3,117.4,33.5
104,7e946fd1-f754-4093-9d91-a56fafeab676,0.271027,333,3939980,00:11:53.783,117.4,33.5,116.6,40.6
